"group","metabolite"
1,"ODF3B"
1,"IYD"
1,"KLHDC4"
1,"HOPX"
1,"TMEM254"
1,"EDAR"
1,"LINC01732"
1,"LRRC10B"
1,"TUBAP2"
1,"ESYT3"
1,"MLEC"
1,"EDN1"
1,"DIO1"
1,"LIN7B"
1,"DNM1"
1,"GLIPR2"
1,"DNAJC17"
1,"KRT12"
1,"PSD4"
1,"LINC02613"
1,"CPEB1"
1,"PAXX"
1,"APOBEC3A"
1,"APOBEC3A_B"
1,"EPN3"
1,"MINDY1"
1,"SLC5A6"
1,"CYGB"
1,"NDUFA3"
1,"KLK6"
1,"ALOX12"
1,"DNAH1"
1,"ITGB3"
1,"PHKG2"
1,"PPFIBP2"
1,"ITGA9"
1,"TMEM63A"
1,"MAPK8IP2"
1,"CBR3-AS1"
1,"IFT27"
1,"PCAT19"
1,"ZNF324"
1,"KAZN"
1,"BMP8A"
1,"ZZEF1"
1,"CCDC33"
1,"KNOP1"
1,"SDF2L1"
1,"XCR1"
1,"FAM20A"
1,"KCTD20"
1,"FAM86HP"
1,"HMGCS2"
1,"TM4SF1-AS1"
1,"FBXO25"
1,"CACFD1"
1,"PLD6"
1,"PRXL2B"
1,"BACE1"
1,"SYTL2"
1,"FAP"
1,"CTSD"
1,"RAP1GAP"
1,"SCNM1"
1,"TNFAIP8L2-SCNM1"
1,"LYNX1"
1,"ATP6V1C2"
1,"GIMAP2"
1,"LNX1"
1,"ATP6V0A4"
1,"GYG1"
1,"ELOVL7"
1,"IL1R1"
1,"ULK3"
1,"IMMTP1"
1,"TMEM88"
1,"MS4A15"
1,"LOC105370645"
1,"RNU6-181P"
1,"HOXB4"
1,"CDC42EP5"
1,"RASAL1"
1,"TWIST2"
1,"VNN1"
1,"ELAPOR1"
1,"PLA2G2A"
1,"PNLIPRP3"
1,"HOXC5"
1,"ZFHX4"
1,"JMJD4"
1,"ALOX5"
1,"ISG15"
1,"STAP2"
1,"BMPR1B"
1,"FUT6"
1,"RBPMS-AS1"
1,"RAB11FIP1"
1,"UBE2Q2P1"
1,"ADGRE2"
1,"MYL6"
1,"RIPK4"
1,"MC1R"
1,"RBM19"
1,"C12orf42"
1,"RARB"
1,"ATG4B"
1,"SMO"
1,"SCARA3"
1,"VAC14"
1,"TTLL11"
1,"STXBP5-AS1"
1,"ETV6"
1,"HRNR"
1,"SERPINB3"
1,"CNNM1"
1,"NBEAL2"
1,"ZDHHC11"
1,"NSUN7"
1,"FLVCR2"
1,"RNASE1"
1,"GMDS-DT"
1,"TULP1"
1,"CACNA1C"
1,"CACNA1C-IT2"
1,"COLCA1"
1,"TNFRSF11A"
1,"LMO2"
1,"PIGZ"
1,"MIR3667HG"
1,"B3GNT7"
1,"CACNA2D1"
1,"DCAF11"
1,"KANSL1-AS1"
1,"TLE3"
1,"ZNF778"
1,"SMCO4"
1,"TAF10"
1,"BBOX1"
1,"RPL7P16"
1,"LINC01585"
1,"OSGIN1"
1,"CT45A10"
1,"POR"
1,"PELP1"
1,"RPL31P38"
1,"MIR200CHG"
1,"SLC9A8"
1,"ARHGEF35"
1,"PPIL2"
1,"NCF1"
1,"SCART1"
1,"C6orf15"
1,"ATP6V1H"
1,"DMGDH"
1,"ESPN"
1,"PCDH19"
1,"NFIX"
1,"PDLIM4"
1,"ETV7"
1,"MICALL1"
1,"MIEF2"
1,"TLCD1"
1,"RNPEPL1"
1,"GRAMD4"
1,"NHLRC1"
1,"CABP1"
1,"CTSO"
1,"ACTR3C"
1,"MYRFL"
1,"POTEI"
1,"TLCD2"
1,"ACSM1"
1,"EEF1A1P17"
1,"MLYCD"
1,"C15orf39"
1,"HEXA-AS1"
1,"RPL24P4"
1,"TYRO3"
1,"ZDHHC24"
1,"TECPR2"
1,"HSD11B2"
1,"TMEM64"
1,"GPM6B"
1,"TGFB3"
1,"RHPN1"
1,"ECHDC2"
1,"LINC00367"
1,"ENDOV"
1,"GRID2IP"
1,"LOC100505664"
1,"DOP1B"
1,"ELF3"
1,"PCBP4"
1,"PLA2R1"
1,"YJU2B"
1,"PPFIA3"
1,"HMOX2"
1,"UNC93B1"
1,"ABCA7"
1,"GNLY"
1,"WAKMAR2"
1,"ZNF467"
1,"ANGPTL2"
1,"DHODH"
1,"SPNS3"
1,"DDX31"
1,"NR4A1"
1,"RAB19"
1,"NISCH"
1,"SLC44A4"
1,"PACS2"
